Date;Production;Consumption
2016-01-01;58700000000.0;65500000000.0
2017-01-01;57300000000.0;67000000000.0
2018-01-01;63600000000.0;66000000000.0
2019-01-01;67800000000.0;65599999999.99999
2020-01-01;62400000000.0;66800000000.0
2021-01-01;62500000000.0;66500000000.0
2022-01-01;57900000000.0;67300000000.0
2023-01-01;58200000000.0;67400000000.00001
2024-01-01;58900000000.0;67599999999.99999
2025-01-01;59400000000.0;67800000000.0
2026-01-01;60100000000.0;68200000000.0
2027-01-01;60600000000.0;68900000000.0
2028-01-01;61700000000.0;69300000000.0
2029-01-01;55500000000.0;69600000000.0
2030-01-01;56700000000.0;70400000000.0
2031-01-01;57800000000.0;71300000000.0
2032-01-01;59100000000.0;72300000000.0
2033-01-01;60200000000.0;73300000000.0
2034-01-01;53300000000.0;73500000000.0
2035-01-01;54800000000.0;73500000000.0
2036-01-01;56400000000.0;74800000000.0
2037-01-01;57800000000.0;76400000000.0
2038-01-01;59500000000.0;77800000000.0
2039-01-01;61200000000.0;78200000000.0
2040-01-01;63000000000.0;79500000000.0
2041-01-01;64300000000.0;79600000000.0
2042-01-01;66000000000.0;81300000000.0
2043-01-01;67300000000.0;81000000000.0
2044-01-01;68599999999.99999;81500000000.0
2045-01-01;70000000000.0;82900000000.0
2046-01-01;71500000000.0;82600000000.0
2047-01-01;72700000000.0;83500000000.0
2048-01-01;74000000000.0;83200000000.0
2049-01-01;75200000000.0;83500000000.0
2050-01-01;76400000000.0;84400000000.0
2051-01-01;77100000000.0;84000000000.0
2052-01-01;77900000000.0;84500000000.0
2053-01-01;78400000000.0;84400000000.0
2054-01-01;78700000000.0;84000000000.0
2055-01-01;79300000000.0;84300000000.0
2056-01-01;79600000000.0;84000000000.0
2057-01-01;79900000000.0;83900000000.0
2058-01-01;80300000000.0;83600000000.0
2059-01-01;80700000000.0;83600000000.0
2060-01-01;81100000000.0;83700000000.0
