Date;Consumption;Prediction
2015-12-31;59301316829.763;0
2016-12-31;60653470951.548004;0
2017-12-31;60712527101.036;0
2018-12-31;61388878687.203224;0
2019-12-31;60935665605.47045;0
2020-12-31;59750271019.28487;0
2021-12-31;61957880534.81394;0
2022-12-31;61597912877.50612;0
2023-12-31;61266298593.663666;42
2024-12-31;61852355022.45134;53
2025-12-31;61243328433.35127;52
2026-12-31;60719753031.77974;52
2027-12-31;61233945724.550095;52
2028-12-31;60728967598.18121;52
2029-12-31;62413526054.195206;53
2030-12-31;60749898069.06407;52
2031-12-31;61204340900.0141;52
2032-12-31;60758041890.82649;52
2033-12-31;61196343019.23343;52
2034-12-31;60765896445.95403;52
2035-12-31;62477210102.79857;53
2036-12-31;60785408611.80244;52
2037-12-31;61169466722.31673;52
2038-12-31;60792291107.4332;52
2039-12-31;61162707564.131035;52
2040-12-31;62207550710.24492;53
2041-12-31;61143195168.8809;52
2042-12-31;60818091862.70909;52
2043-12-31;61137369170.09838;52
2044-12-31;60823813456.94951;52
2045-12-31;61131750109.42328;52
2046-12-31;62213067069.6343;53
2047-12-31;61115149672.98782;52
2048-12-31;60845634770.58836;52
2049-12-31;61110319843.62762;52
2050-12-31;60850378047.2146;52
2051-12-31;61105661568.67108;52
2052-12-31;62181435457.22989;53
2053-12-31;61093939923.53132;52
2054-12-31;60866464431.709366;52
2055-12-31;61089863459.486664;52
2056-12-31;60870467843.66839;52
2057-12-31;62372038059.79655;53
2058-12-31;60881352238.67424;52
2059-12-31;61075242448.77887;52
2060-12-31;1207603467.232137;1
