Date;Production;Prediction
2015-12-31;59528203151.761;0
2016-12-31;55924002997.84633;0
2017-12-31;54722755453.496;0
2018-12-31;62312080943.68642;0
2019-12-31;65262781306.883575;0
2020-12-31;63147451238.84343;0
2021-12-31;57663137872.301674;0
2022-12-31;57488234442.42364;0
2023-12-31;58656308473.79432;42
2024-12-31;59376492425.295685;53
2025-12-31;58436351264.40361;52
2026-12-31;58436335410.683426;52
2027-12-31;58436335301.46334;52
2028-12-31;58436335300.712975;52
2029-12-31;59506769692.85507;53
2030-12-31;58436335300.70779;52
2031-12-31;58436335300.70779;52
2032-12-31;58436335300.70779;52
2033-12-31;58436335300.70779;52
2034-12-31;58436335300.70779;52
2035-12-31;59556698442.717705;53
2036-12-31;58436335300.70778;52
2037-12-31;58436335300.70778;52
2038-12-31;58436335300.70778;52
2039-12-31;58436335300.70778;52
2040-12-31;59690432428.36185;53
2041-12-31;58436335300.70779;52
2042-12-31;58436335300.70779;52
2043-12-31;58436335300.70779;52
2044-12-31;58436335300.70779;52
2045-12-31;58436335300.70779;52
2046-12-31;59650786597.91624;53
2047-12-31;58436335300.70778;52
2048-12-31;58436335300.70778;52
2049-12-31;58436335300.70778;52
2050-12-31;58436335300.70778;52
2051-12-31;58436335300.70778;52
2052-12-31;59514941107.09438;53
2053-12-31;58436335300.70779;52
2054-12-31;58436335300.70779;52
2055-12-31;58436335300.70779;52
2056-12-31;58436335300.70779;52
2057-12-31;59589985987.40031;53
2058-12-31;58436335300.70778;52
2059-12-31;58436335300.70778;52
2060-12-31;1028732162.2353958;1
